,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,0.2263,Thu Mar 08 11:15:06 +0000 2018,0.921,0.0,0.079,74
75,0.0,Thu Mar 08 11:00:04 +0000 2018,1.0,0.0,0.0,75
76,-0.6705,Thu Mar 08 10:47:06 +0000 2018,0.8,0.2,0.0,76
77,0.1779,Thu Mar 08 10:30:10 +0000 2018,0.817,0.078,0.105,77
78,-0.3875,Thu Mar 08 10:16:04 +0000 2018,0.889,0.111,0.0,78
79,-0.4588,Thu Mar 08 09:59:08 +0000 2018,0.636,0.364,0.0,79
80,0.4019,Thu Mar 08 09:45:11 +0000 2018,0.876,0.0,0.124,80
81,-0.6908,Thu Mar 08 09:30:09 +0000 2018,0.783,0.217,0.0,81
82,0.0,Thu Mar 08 09:14:08 +0000 2018,1.0,0.0,0.0,82
83,0.4215,Thu Mar 08 09:02:02 +0000 2018,0.817,0.0,0.183,83
84,0.6486,Thu Mar 08 08:47:01 +0000 2018,0.751,0.0,0.249,84
85,0.0516,Thu Mar 08 08:32:07 +0000 2018,0.825,0.083,0.092,85
86,-0.7845,Thu Mar 08 08:17:06 +0000 2018,0.769,0.231,0.0,86
87,0.296,Thu Mar 08 08:02:07 +0000 2018,0.81,0.074,0.116,87
88,0.6249,Thu Mar 08 07:58:15 +0000 2018,0.661,0.0,0.339,88
89,0.0,Thu Mar 08 07:32:05 +0000 2018,1.0,0.0,0.0,89
90,0.2263,Thu Mar 08 07:01:35 +0000 2018,0.863,0.0,0.137,90
91,0.34,Thu Mar 08 06:45:12 +0000 2018,0.821,0.0,0.179,91
92,0.891,Thu Mar 08 06:43:05 +0000 2018,0.621,0.0,0.379,92
93,-0.0772,Thu Mar 08 06:25:08 +0000 2018,0.951,0.049,0.0,93
94,-0.3291,Thu Mar 08 06:02:03 +0000 2018,0.857,0.143,0.0,94
95,0.0,Thu Mar 08 05:41:03 +0000 2018,1.0,0.0,0.0,95
96,-0.2732,Thu Mar 08 05:21:02 +0000 2018,0.896,0.104,0.0,96
97,-0.3182,Thu Mar 08 05:05:02 +0000 2018,0.796,0.204,0.0,97
98,0.0,Thu Mar 08 05:02:02 +0000 2018,1.0,0.0,0.0,98
99,0.0,Thu Mar 08 04:47:04 +0000 2018,1.0,0.0,0.0,99
