,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,-0.802,Thu Mar 08 16:20:08 +0000 2018,0.714,0.286,0.0,74
75,-0.8074,Thu Mar 08 16:10:11 +0000 2018,0.578,0.422,0.0,75
76,0.0,Thu Mar 08 15:59:06 +0000 2018,1.0,0.0,0.0,76
77,0.0,Thu Mar 08 15:42:36 +0000 2018,1.0,0.0,0.0,77
78,0.0,Thu Mar 08 15:29:32 +0000 2018,1.0,0.0,0.0,78
79,0.0,Thu Mar 08 15:05:55 +0000 2018,1.0,0.0,0.0,79
80,0.0,Thu Mar 08 14:57:50 +0000 2018,1.0,0.0,0.0,80
81,-0.4215,Thu Mar 08 14:51:24 +0000 2018,0.833,0.167,0.0,81
82,0.0,Thu Mar 08 14:40:11 +0000 2018,1.0,0.0,0.0,82
83,0.5719,Thu Mar 08 14:24:59 +0000 2018,0.73,0.0,0.27,83
84,-0.34,Thu Mar 08 14:09:43 +0000 2018,0.893,0.107,0.0,84
85,-0.3818,Thu Mar 08 13:54:03 +0000 2018,0.867,0.133,0.0,85
86,0.4588,Thu Mar 08 13:39:07 +0000 2018,0.672,0.101,0.227,86
87,0.0,Thu Mar 08 13:15:09 +0000 2018,1.0,0.0,0.0,87
88,-0.5574,Thu Mar 08 13:07:38 +0000 2018,0.854,0.146,0.0,88
89,-0.4215,Thu Mar 08 12:50:05 +0000 2018,0.755,0.189,0.057,89
90,-0.6369,Thu Mar 08 12:40:11 +0000 2018,0.769,0.231,0.0,90
91,0.5574,Thu Mar 08 12:32:00 +0000 2018,0.854,0.0,0.146,91
92,-0.7717,Thu Mar 08 12:30:07 +0000 2018,0.66,0.34,0.0,92
93,0.0,Thu Mar 08 12:21:26 +0000 2018,1.0,0.0,0.0,93
94,0.0,Thu Mar 08 12:10:11 +0000 2018,1.0,0.0,0.0,94
95,0.0,Thu Mar 08 12:00:21 +0000 2018,1.0,0.0,0.0,95
96,0.4767,Thu Mar 08 11:55:05 +0000 2018,0.838,0.0,0.162,96
97,0.0,Thu Mar 08 11:48:03 +0000 2018,1.0,0.0,0.0,97
98,-0.296,Thu Mar 08 11:43:38 +0000 2018,0.901,0.099,0.0,98
99,0.3612,Thu Mar 08 11:40:10 +0000 2018,0.894,0.0,0.106,99
