,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,-0.5859,Thu Mar 08 18:32:14 +0000 2018,0.787,0.213,0.0,73
74,0.0,Thu Mar 08 18:30:00 +0000 2018,1.0,0.0,0.0,74
75,0.5023,Thu Mar 08 18:24:43 +0000 2018,0.84,0.0,0.16,75
76,0.0,Thu Mar 08 18:23:39 +0000 2018,1.0,0.0,0.0,76
77,0.0,Thu Mar 08 18:15:20 +0000 2018,1.0,0.0,0.0,77
78,0.0,Thu Mar 08 18:15:00 +0000 2018,1.0,0.0,0.0,78
79,0.0,Thu Mar 08 18:11:40 +0000 2018,1.0,0.0,0.0,79
80,0.7269,Thu Mar 08 18:04:01 +0000 2018,0.681,0.0,0.319,80
81,0.0,Thu Mar 08 18:02:11 +0000 2018,1.0,0.0,0.0,81
82,0.0,Thu Mar 08 17:55:00 +0000 2018,1.0,0.0,0.0,82
83,0.5023,Thu Mar 08 17:50:00 +0000 2018,0.822,0.0,0.178,83
84,0.0,Thu Mar 08 17:45:00 +0000 2018,1.0,0.0,0.0,84
85,0.3818,Thu Mar 08 17:40:00 +0000 2018,0.755,0.0,0.245,85
86,-0.34,Thu Mar 08 17:32:17 +0000 2018,0.821,0.179,0.0,86
87,-0.6908,Thu Mar 08 17:24:43 +0000 2018,0.551,0.449,0.0,87
88,0.765,Thu Mar 08 17:12:17 +0000 2018,0.55,0.085,0.365,88
89,0.0,Thu Mar 08 17:03:15 +0000 2018,1.0,0.0,0.0,89
90,0.5023,Thu Mar 08 17:01:48 +0000 2018,0.822,0.0,0.178,90
91,0.0,Thu Mar 08 17:00:15 +0000 2018,1.0,0.0,0.0,91
92,0.0772,Thu Mar 08 16:59:56 +0000 2018,0.885,0.0,0.115,92
93,0.0,Thu Mar 08 16:59:33 +0000 2018,1.0,0.0,0.0,93
94,-0.1548,Thu Mar 08 16:58:28 +0000 2018,0.903,0.097,0.0,94
95,-0.4404,Thu Mar 08 16:57:03 +0000 2018,0.838,0.162,0.0,95
96,0.4767,Thu Mar 08 16:56:28 +0000 2018,0.846,0.0,0.154,96
97,0.3818,Thu Mar 08 16:55:52 +0000 2018,0.755,0.0,0.245,97
98,0.25,Thu Mar 08 16:55:01 +0000 2018,0.833,0.0,0.167,98
99,-0.7783,Thu Mar 08 16:55:00 +0000 2018,0.473,0.527,0.0,99
