,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,-0.6808,Thu Mar 08 21:35:00 +0000 2018,0.663,0.337,0.0,74
75,-0.7783,Thu Mar 08 21:30:00 +0000 2018,0.702,0.298,0.0,75
76,-0.1027,Thu Mar 08 21:29:29 +0000 2018,0.924,0.076,0.0,76
77,0.0,Thu Mar 08 21:25:00 +0000 2018,1.0,0.0,0.0,77
78,0.0,Thu Mar 08 21:20:00 +0000 2018,1.0,0.0,0.0,78
79,-0.1027,Thu Mar 08 21:17:13 +0000 2018,0.92,0.08,0.0,79
80,0.0,Thu Mar 08 21:17:00 +0000 2018,1.0,0.0,0.0,80
81,-0.2023,Thu Mar 08 21:12:20 +0000 2018,0.284,0.381,0.335,81
82,0.0,Thu Mar 08 21:12:00 +0000 2018,1.0,0.0,0.0,82
83,0.0,Thu Mar 08 21:07:58 +0000 2018,1.0,0.0,0.0,83
84,0.0,Thu Mar 08 21:00:24 +0000 2018,1.0,0.0,0.0,84
85,0.128,Thu Mar 08 20:57:38 +0000 2018,0.933,0.0,0.067,85
86,-0.4451,Thu Mar 08 20:54:57 +0000 2018,0.573,0.263,0.164,86
87,-0.0382,Thu Mar 08 20:52:25 +0000 2018,0.893,0.107,0.0,87
88,-0.1531,Thu Mar 08 20:50:22 +0000 2018,0.914,0.086,0.0,88
89,0.765,Thu Mar 08 20:50:00 +0000 2018,0.571,0.081,0.348,89
90,-0.2792,Thu Mar 08 20:48:53 +0000 2018,0.823,0.128,0.049,90
91,0.34,Thu Mar 08 20:47:27 +0000 2018,0.876,0.0,0.124,91
92,0.7717,Thu Mar 08 20:45:44 +0000 2018,0.739,0.0,0.261,92
93,0.0,Thu Mar 08 20:44:06 +0000 2018,1.0,0.0,0.0,93
94,0.6705,Thu Mar 08 20:43:48 +0000 2018,0.686,0.0,0.314,94
95,0.7717,Thu Mar 08 20:42:28 +0000 2018,0.749,0.0,0.251,95
96,0.0,Thu Mar 08 20:39:41 +0000 2018,1.0,0.0,0.0,96
97,0.0,Thu Mar 08 20:39:04 +0000 2018,1.0,0.0,0.0,97
98,-0.296,Thu Mar 08 20:37:58 +0000 2018,0.864,0.136,0.0,98
99,-0.1531,Thu Mar 08 20:37:02 +0000 2018,0.926,0.074,0.0,99
