,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,0.8309,Wed Jan 31 01:29:10 +0000 2018,0.586,0.0,0.414,74
75,0.6588,Wed Jan 31 01:24:16 +0000 2018,0.614,0.0,0.386,75
76,-0.5106,Wed Jan 31 01:18:37 +0000 2018,0.602,0.398,0.0,76
77,0.0,Wed Jan 31 01:17:37 +0000 2018,1.0,0.0,0.0,77
78,0.7525,Wed Jan 31 01:16:15 +0000 2018,0.651,0.0,0.349,78
79,0.0,Wed Jan 31 01:08:01 +0000 2018,1.0,0.0,0.0,79
80,0.8516,Wed Jan 31 01:04:34 +0000 2018,0.42,0.0,0.58,80
81,0.8442,Wed Jan 31 01:00:35 +0000 2018,0.649,0.0,0.351,81
82,0.923,Wed Jan 31 00:55:04 +0000 2018,0.594,0.0,0.406,82
83,0.5994,Wed Jan 31 00:37:20 +0000 2018,0.794,0.0,0.206,83
84,0.8834,Wed Jan 31 00:11:53 +0000 2018,0.593,0.0,0.407,84
85,0.8553,Tue Jan 30 23:35:01 +0000 2018,0.724,0.0,0.276,85
86,0.8553,Tue Jan 30 21:19:22 +0000 2018,0.694,0.0,0.306,86
87,0.9215,Tue Jan 30 18:46:04 +0000 2018,0.609,0.0,0.391,87
88,0.0,Tue Jan 30 16:00:02 +0000 2018,1.0,0.0,0.0,88
89,0.5994,Tue Jan 30 04:03:31 +0000 2018,0.813,0.0,0.187,89
90,0.6908,Tue Jan 30 03:17:51 +0000 2018,0.711,0.0,0.289,90
91,0.0,Tue Jan 30 02:12:15 +0000 2018,1.0,0.0,0.0,91
92,-0.296,Tue Jan 30 01:29:06 +0000 2018,0.885,0.115,0.0,92
93,0.0,Tue Jan 30 00:11:05 +0000 2018,1.0,0.0,0.0,93
94,0.3818,Mon Jan 29 22:45:21 +0000 2018,0.885,0.0,0.115,94
95,0.5093,Mon Jan 29 22:10:15 +0000 2018,0.758,0.079,0.162,95
96,0.0,Mon Jan 29 20:00:04 +0000 2018,1.0,0.0,0.0,96
97,0.7783,Mon Jan 29 19:00:05 +0000 2018,0.714,0.0,0.286,97
98,0.9259,Mon Jan 29 18:00:02 +0000 2018,0.558,0.0,0.442,98
99,0.0,Mon Jan 29 17:15:04 +0000 2018,1.0,0.0,0.0,99
