,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,0.3612,Thu Mar 08 17:19:00 +0000 2018,0.872,0.0,0.128,74
75,0.5994,Thu Mar 08 17:15:01 +0000 2018,0.736,0.048,0.216,75
76,-0.4939,Thu Mar 08 17:12:35 +0000 2018,0.682,0.232,0.086,76
77,-0.6249,Thu Mar 08 17:05:08 +0000 2018,0.814,0.186,0.0,77
78,0.2263,Thu Mar 08 16:55:10 +0000 2018,0.739,0.108,0.153,78
79,-0.7964,Thu Mar 08 16:45:17 +0000 2018,0.657,0.278,0.066,79
80,-0.2755,Thu Mar 08 16:30:17 +0000 2018,0.912,0.088,0.0,80
81,0.0,Thu Mar 08 16:15:16 +0000 2018,1.0,0.0,0.0,81
82,-0.4854,Thu Mar 08 16:08:07 +0000 2018,0.673,0.222,0.105,82
83,0.0,Thu Mar 08 16:00:22 +0000 2018,1.0,0.0,0.0,83
84,0.0,Thu Mar 08 15:46:03 +0000 2018,1.0,0.0,0.0,84
85,0.0,Thu Mar 08 15:30:04 +0000 2018,1.0,0.0,0.0,85
86,0.34,Thu Mar 08 15:16:03 +0000 2018,0.882,0.0,0.118,86
87,-0.0258,Thu Mar 08 15:04:52 +0000 2018,0.939,0.061,0.0,87
88,0.0,Thu Mar 08 15:00:37 +0000 2018,1.0,0.0,0.0,88
89,0.0,Thu Mar 08 14:43:05 +0000 2018,1.0,0.0,0.0,89
90,-0.34,Thu Mar 08 14:29:03 +0000 2018,0.789,0.211,0.0,90
91,-0.6249,Thu Mar 08 14:21:12 +0000 2018,0.758,0.242,0.0,91
92,-0.6369,Thu Mar 08 14:11:04 +0000 2018,0.763,0.237,0.0,92
93,-0.2732,Thu Mar 08 14:00:29 +0000 2018,0.676,0.188,0.135,93
94,-0.6697,Thu Mar 08 13:44:04 +0000 2018,0.756,0.244,0.0,94
95,0.3612,Thu Mar 08 13:31:04 +0000 2018,0.848,0.0,0.152,95
96,0.5859,Thu Mar 08 13:20:02 +0000 2018,0.789,0.0,0.211,96
97,0.25,Thu Mar 08 13:08:00 +0000 2018,0.905,0.0,0.095,97
98,0.0,Thu Mar 08 13:04:00 +0000 2018,1.0,0.0,0.0,98
99,0.0,Thu Mar 08 13:00:06 +0000 2018,1.0,0.0,0.0,99
