,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,0.25,Thu Mar 08 22:11:01 +0000 2018,0.909,0.0,0.091,74
75,0.0,Thu Mar 08 22:08:10 +0000 2018,1.0,0.0,0.0,75
76,0.2732,Thu Mar 08 22:04:57 +0000 2018,0.896,0.0,0.104,76
77,-0.5267,Thu Mar 08 22:01:20 +0000 2018,0.815,0.185,0.0,77
78,-0.5859,Thu Mar 08 22:00:47 +0000 2018,0.806,0.194,0.0,78
79,0.0,Thu Mar 08 21:55:24 +0000 2018,1.0,0.0,0.0,79
80,-0.3818,Thu Mar 08 21:53:33 +0000 2018,0.833,0.167,0.0,80
81,0.1779,Thu Mar 08 21:51:50 +0000 2018,0.925,0.0,0.075,81
82,-0.0772,Thu Mar 08 21:50:32 +0000 2018,0.754,0.131,0.116,82
83,-0.296,Thu Mar 08 21:44:08 +0000 2018,0.885,0.115,0.0,83
84,0.0,Thu Mar 08 21:39:52 +0000 2018,1.0,0.0,0.0,84
85,-0.296,Thu Mar 08 21:29:00 +0000 2018,0.872,0.128,0.0,85
86,0.0,Thu Mar 08 21:28:27 +0000 2018,1.0,0.0,0.0,86
87,-0.3818,Thu Mar 08 21:25:02 +0000 2018,0.885,0.115,0.0,87
88,0.0,Thu Mar 08 21:22:09 +0000 2018,1.0,0.0,0.0,88
89,0.7073,Thu Mar 08 21:11:53 +0000 2018,0.787,0.0,0.213,89
90,0.0,Thu Mar 08 21:10:31 +0000 2018,1.0,0.0,0.0,90
91,0.0,Thu Mar 08 21:09:04 +0000 2018,1.0,0.0,0.0,91
92,0.0,Thu Mar 08 21:03:55 +0000 2018,1.0,0.0,0.0,92
93,-0.1531,Thu Mar 08 20:55:43 +0000 2018,0.909,0.091,0.0,93
94,0.34,Thu Mar 08 20:50:56 +0000 2018,0.876,0.0,0.124,94
95,-0.296,Thu Mar 08 20:38:12 +0000 2018,0.879,0.121,0.0,95
96,0.0,Thu Mar 08 20:25:13 +0000 2018,1.0,0.0,0.0,96
97,0.0,Thu Mar 08 20:20:38 +0000 2018,1.0,0.0,0.0,97
98,-0.1665,Thu Mar 08 20:03:33 +0000 2018,0.694,0.146,0.16,98
99,0.0,Thu Mar 08 20:01:36 +0000 2018,1.0,0.0,0.0,99
